show_id,type,title,director,country,date_added,release_year,rating,duration
s1,TV Show,Title_1,Christopher Nolan,UK,2019-08-20,2016,,
s2,Movie,Title_2,Raj Kumar,India,2020-01-01,2003,PG,2 Seasons
s3,Movie,Title_3,Christopher Nolan,,2021-05-10,2011,R,
s4,TV Show,Title_4,,UK,2019-08-20,2022,TV-14,
s5,Movie,Title_5,,UK,,2015,R,90 min
s6,Movie,Title_6,Anurag Kashyap,Canada,2020-01-01,2021,R,
s7,Movie,Title_7,,United States,2021-05-10,2005,R,1 Season
s8,Movie,Title_8,,UK,2019-08-20,2002,PG,
s9,Movie,Title_9,Raj Kumar,Canada,2020-01-01,2023,PG,
s10,Movie,Title_10,Raj Kumar,India,,2019,TV-14,
s11,Movie,Title_11,,UK,,2004,TV-MA,2 Seasons
s12,TV Show,Title_12,Christopher Nolan,UK,2021-05-10,2021,,1 Season
s13,Movie,Title_13,Raj Kumar,United States,2020-01-01,2004,TV-14,2 Seasons
s14,Movie,Title_14,Christopher Nolan,United States,2019-08-20,2007,,90 min
s15,Movie,Title_15,,UK,2021-05-10,1999,TV-MA,1 Season
s16,TV Show,Title_16,,India,2020-01-01,2008,,90 min
s17,TV Show,Title_17,Christopher Nolan,,2019-08-20,2004,TV-MA,2 Seasons
s18,TV Show,Title_18,,,2019-08-20,2009,,2 Seasons
s19,Movie,Title_19,Christopher Nolan,United States,,2013,,2 Seasons
s20,Movie,Title_20,Christopher Nolan,United States,2019-08-20,1998,TV-14,1 Season
s21,Movie,Title_21,,India,,2006,TV-14,1 Season
s22,Movie,Title_22,,United States,2020-01-01,2013,TV-MA,90 min
s23,Movie,Title_23,Christopher Nolan,UK,,1995,PG,
s24,Movie,Title_24,Christopher Nolan,India,2019-08-20,1995,PG,
s25,TV Show,Title_25,,,2021-05-10,2015,R,1 Season
s26,TV Show,Title_26,Raj Kumar,United States,2020-01-01,2007,PG,
s27,Movie,Title_27,Christopher Nolan,UK,2019-08-20,1997,,2 Seasons
s28,TV Show,Title_28,,,2019-08-20,1998,TV-14,
s29,TV Show,Title_29,Anurag Kashyap,India,2021-05-10,2020,,1 Season
s30,Movie,Title_30,Raj Kumar,,,2007,R,90 min
s31,Movie,Title_31,,United States,2019-08-20,2012,TV-14,2 Seasons
s32,Movie,Title_32,,United States,2020-01-01,2006,TV-14,1 Season
s33,TV Show,Title_33,Anurag Kashyap,United States,2020-01-01,2001,R,2 Seasons
s34,Movie,Title_34,,United States,2020-01-01,2020,,90 min
s35,TV Show,Title_35,,India,2020-01-01,1996,PG,90 min
s36,TV Show,Title_36,,Canada,2019-08-20,2013,R,1 Season
s37,TV Show,Title_37,,United States,2019-08-20,2021,PG,1 Season
s38,Movie,Title_38,,UK,2021-05-10,1996,TV-MA,90 min
s39,TV Show,Title_39,Anurag Kashyap,UK,,2022,TV-14,
s40,TV Show,Title_40,Anurag Kashyap,UK,2020-01-01,2017,R,90 min
s41,Movie,Title_41,,Canada,2019-08-20,2015,TV-14,1 Season
s42,Movie,Title_42,,United States,2020-01-01,2020,TV-14,
s43,Movie,Title_43,Anurag Kashyap,United States,2019-08-20,2001,TV-14,90 min
s44,Movie,Title_44,Anurag Kashyap,United States,2021-05-10,2001,TV-MA,2 Seasons
s45,Movie,Title_45,,UK,2021-05-10,2022,TV-14,2 Seasons
s46,Movie,Title_46,Raj Kumar,,,2007,,90 min
s47,Movie,Title_47,,UK,2020-01-01,2019,TV-MA,2 Seasons
s48,Movie,Title_48,,UK,2019-08-20,2022,R,2 Seasons
s49,TV Show,Title_49,Raj Kumar,Canada,2021-05-10,2008,PG,90 min
s50,TV Show,Title_50,,Canada,2021-05-10,2015,TV-14,1 Season
s51,TV Show,Title_51,,United States,2020-01-01,2007,,2 Seasons
s52,TV Show,Title_52,,,2019-08-20,2011,,2 Seasons
s53,Movie,Title_53,Christopher Nolan,Canada,2020-01-01,2009,,1 Season
s54,TV Show,Title_54,Christopher Nolan,UK,2019-08-20,2023,TV-14,90 min
s55,TV Show,Title_55,Raj Kumar,United States,2019-08-20,2017,PG,1 Season
s56,TV Show,Title_56,,United States,,1995,R,2 Seasons
s57,Movie,Title_57,,,2020-01-01,2013,R,1 Season
s58,TV Show,Title_58,,UK,,2011,R,
s59,TV Show,Title_59,,United States,,2006,PG,
s60,Movie,Title_60,Raj Kumar,Canada,,2013,,90 min
s61,Movie,Title_61,Raj Kumar,UK,2019-08-20,2016,TV-14,90 min
s62,TV Show,Title_62,Christopher Nolan,,,2020,TV-MA,1 Season
s63,Movie,Title_63,,UK,2019-08-20,2004,TV-14,
s64,TV Show,Title_64,Christopher Nolan,UK,2021-05-10,2009,TV-MA,1 Season
s65,Movie,Title_65,Anurag Kashyap,Canada,2019-08-20,2012,PG,2 Seasons
s66,TV Show,Title_66,Raj Kumar,India,,2015,,
s67,TV Show,Title_67,,India,2021-05-10,2018,,
s68,Movie,Title_68,,UK,,1995,TV-MA,2 Seasons
s69,TV Show,Title_69,Raj Kumar,UK,2019-08-20,2009,PG,1 Season
s70,TV Show,Title_70,,,2020-01-01,2023,TV-MA,2 Seasons
